# 其他符号：技术、几何、装饰、标点、带圈 CJK 等。用 Opus 5 逐块重写。
# 格式：码位序列 <TAB> 简洁读法 <TAB> 详细读法（留空表示与简洁相同） <TAB> 选项
# 引号不在本表：全部收在 symbols-quotes.tsv，简洁档统一读一个字「引」。
00A1	倒感叹号	上下颠倒的感叹号，西班牙语感叹句开头用
25CA	窄菱形	竖长瘦削的空心菱形，比空心菱形窄
25CB	空心圆	只有一圈边框的正圆
25CC	虚线圆	由一圈小圆点排成的圆，本身不显示内容，只作占位
25CD	竖纹圆	内部填满一道道竖线的圆
25CE	靶心	一个空心大圆里套着同心的空心小圆，双圈结构
25CF	实心圆	整个圆通体填黑，中等大小的实心圆点
25D0	左半实心圆	完整的圆，左边半个填黑，右边留白
25D1	右半实心圆	完整的圆，右边半个填黑，左边留白
25D2	下半实心圆	完整的圆，下边半个填黑，上边留白
25D3	上半实心圆	完整的圆，上边半个填黑，下边留白
25D4	四分之一实心圆	完整的圆，右上四分之一填黑，其余留白
25D5	四分之三实心圆	完整的圆，只有左上四分之一留白，其余填黑
25D6	左半实心圆	只有左边半个圆并且填黑，右侧是一条直边，没有右半圆
25D7	右半实心圆	只有右边半个圆并且填黑，左侧是一条直边，没有左半圆
25D8	反白圆点	黑底方块里挖出一个白色小圆，实心圆点的反色版
25D9	反白圆	黑底方块里挖出一个白色大圆，白圆比反白圆点的大
25DA	反白上半圆	反白圆的上半截，黑底里挖出上半个白圆，底边平齐
25DB	反白下半圆	反白圆的下半截，黑底里挖出下半个白圆，顶边平齐
25DC	左上圆弧	圆周左上那四分之一段弧线，凹面朝右下
25DD	右上圆弧	圆周右上那四分之一段弧线，凹面朝左下
25DE	右下圆弧	圆周右下那四分之一段弧线，凹面朝左上
25DF	左下圆弧	圆周左下那四分之一段弧线，凹面朝右上
25E0	上半圆	上半个圆的弧线，像一道拱，开口朝下
25E1	下半圆	下半个圆的弧线，像一只碗，开口朝上
25E2	实心右下三角	填黑的直角三角形，直角在右下角，斜边从左下到右上
25E3	实心左下三角	填黑的直角三角形，直角在左下角，斜边从左上到右下
25E4	实心左上三角	填黑的直角三角形，直角在左上角，斜边从左下到右上
25E5	实心右上三角	填黑的直角三角形，直角在右上角，斜边从左上到右下
25E6	空心圆点	比实心圆点小一号的空心小圆，中间是空的
25E7	左半实心方块	方块竖着分成两半，左半填黑，右半留白
25E8	右半实心方块	方块竖着分成两半，右半填黑，左半留白
25E9	左上半实心方块	方块沿对角线斜着分开，左上那半个三角填黑
25EA	右下半实心方块	方块沿对角线斜着分开，右下那半个三角填黑
25EB	中竖线方块	空心方块中间一条竖线，把它分成左右两格
25EC	带点空心三角	空心的正三角形，尖朝上，正中间有一个小圆点
25ED	左半实心三角	尖朝上的三角形，左半边填黑，右半边留白
25EE	右半实心三角	尖朝上的三角形，右半边填黑，左半边留白
25EF	大空心圆	明显比普通空心圆大一圈，大到可以把字圈在里面
25F0	左上格空心方块	空心方块里用短线划出左上四分之一小格，只画格线不填色
25F1	左下格空心方块	空心方块里用短线划出左下四分之一小格，只画格线不填色
25F2	右下格空心方块	空心方块里用短线划出右下四分之一小格，只画格线不填色
25F3	右上格空心方块	空心方块里用短线划出右上四分之一小格，只画格线不填色
25F4	左上格空心圆	空心圆里用两条半径划出左上四分之一扇形，不填色
25F5	左下格空心圆	空心圆里用两条半径划出左下四分之一扇形，不填色
25F6	右下格空心圆	空心圆里用两条半径划出右下四分之一扇形，不填色
25F7	右上格空心圆	空心圆里用两条半径划出右上四分之一扇形，不填色
25F8	空心左上三角	只有轮廓线的直角三角形，直角在左上角，实心左上三角的空心版
25F9	空心右上三角	只有轮廓线的直角三角形，直角在右上角，实心右上三角的空心版
25FA	空心左下三角	只有轮廓线的直角三角形，直角在左下角，实心左下三角的空心版
25FB	白中方	中等大小的正方形，只有轮廓没有填色
25FC	黑中方	中等大小的黑色实心正方形
25FF	空心右下三角	只有轮廓线的直角三角形，直角在右下角，实心右下三角的空心版
2600	太阳	圆形日面四周射出光芒，天气里表示晴天
2601	云	一朵轮廓画的云，天气里表示多云或阴天
2602	雨伞	撑开的伞，伞下没有雨点
2603	雪人	雪球堆成的雪人，周围飘着雪花
2604	彗星	拖着长尾巴的星，俗称扫帚星
2605	实心五角星	五个角的星形，内部整个涂黑
2606	空心五角星	五个角的星形，只有轮廓不填色
2607	闪电	气象记录里表示打闪，字形是一道折线闪电
2608	雷暴	气象记录里表示雷雨天气，比单纯的闪电多了打雷
2609	太阳	圆圈正中一个点，天文里代表太阳
260A	升交点	天文占星里轨道自南向北穿过黄道的那一点，也叫北交点
260B	降交点	天文占星里轨道自北向南穿过黄道的那一点，也叫南交点
260C	合相	占星里两颗天体凑到同一个方位，与冲相相对
260D	冲相	占星里两颗天体正好遥遥相对，也叫对分相
260E	电话	黑色老式座机，听筒横搁在机身上
260F	电话	只有轮廓的座机话筒形状，空心电话
2610	方框	空心方框，选项前面表示还没有勾选
2611	已勾选	方框里打了一个对勾，表示这一项选中了
2612	打叉方框	方框里画一个叉，表示已经勾选
2613	叉号	斜着的十字形叉，纹章里叫圣安德烈十字
2616	将棋白子	日本将棋的五边形棋子，空心的一枚，棋谱里代表后手
2617	将棋黑子	日本将棋的五边形棋子，涂黑的一枚，棋谱里代表先手
2618	三叶草	三片叶子的酢浆草，爱尔兰的象征
2619	心形花饰	排版用的花叶装饰，心形转了个向，常成对摆在标题两端
261A	左指手	涂黑的手，食指向左指
261B	右指手	涂黑的手，食指向右指
261C	左指手	只有轮廓的手，食指向左指
261D	食指向上	一只手握拳伸出食指，指向上方
261E	右指手	只有轮廓的手，食指向右指
261F	下指手	只有轮廓的手，食指向下指
2620	骷髅头	头骨下面交叉着两根骨头，标在有毒或致命的东西上
2621	警告	提醒当心、注意危险，字形是一道折线
2622	辐射警告	圆心外围三片扇叶，警示放射性物质
2623	生物危害	三个圆环互相扣在一起，警示病原体等生物危险品
2624	双蛇手杖	手杖上缠着两条蛇、顶端带翅膀，希腊神话里的商神杖，常被用来代表医疗
2625	埃及生命十字	顶端带一个环的十字，古埃及用来表示生命，也叫安卡
2626	东正教十字	竖杆上有三道横杠，最下面一道是斜的
2627	基督组合字	两个希腊字母叠合成的基督教徽记，也叫凯乐十字
2628	洛林十字	竖杆上带两道横的双横十字，法国洛林地区的徽记
2629	耶路撒冷十字	四个端头都带短横的十字，源自耶路撒冷王国的纹章
262A	星月	一弯新月怀里托着一颗五角星，伊斯兰世界常用
262B	伊朗国徽	四道弯月围着中间一竖，伊朗的国徽图形
262C	锡克教徽	中间一把双刃剑，外面套一个圆环，两旁各一把弯刀
262D	锤子镰刀	锤头和镰刀交叉在一起，共产主义运动的徽记
262E	和平	圆圈里一道竖线加两道下斜线，反战和平的图案
262F	太极图	圆内黑白两半首尾相抱，各含一个异色圆点，也叫阴阳鱼
2630	乾卦	八卦里的乾，代表天，三道横都是整的
2631	兑卦	八卦里的兑，代表泽，最上面一道横断开，下面两道是整的
2632	离卦	八卦里的离，代表火，中间一道横断开，上下两道是整的
2633	震卦	八卦里的震，代表雷，最下面一道横是整的，上面两道断开
2634	巽卦	八卦里的巽，代表风，最下面一道横断开，上面两道是整的
2635	坎卦	八卦里的坎，代表水，中间一道横是整的，上下两道断开
2636	艮卦	八卦里的艮，代表山，最上面一道横是整的，下面两道断开
2637	坤卦	八卦里的坤，代表地，三道横全部断开
2638	法轮	八根辐条的车轮，佛教常用
2639	皱眉脸	空心圆脸两点眼睛，嘴角向下撇
263A	笑脸	空心圆脸两点眼睛，嘴角上扬
263B	实心笑脸	整个涂黑的圆脸，眼睛和笑嘴留白
263C	太阳	圆圈四周带放射光芒的太阳，比天文的太阳多了光线
263D	上弦月	月相里的上弦月，弯钩朝向和下弦月相反
263E	下弦月	月相里的下弦月，也叫残月，弯钩朝向和上弦月相反
263F	水星	天文里的水星，炼金术里也代表水银，圆圈上带角、下带十字
2640	女性	一个圆圈下面带十字，生物学里表示雌性
2641	地球	天文里的地球，圆圈里画一个十字
2642	男性	一个圆圈右上引出一支箭头，生物学里表示雄性
2643	木星	天文和占星里的木星，字形是弯钩加一道横
2644	土星	天文和占星里的土星，字形像一把镰刀
2645	天王星	天文和占星里的天王星，太阳系里土星外侧那颗行星
2646	海王星	天文和占星里的海王星，字形是一支三叉戟
2647	冥王星	天文和占星里的冥王星，现在划归矮行星
2654	白王	国际象棋白方的王，顶上带十字的棋子
2655	白后	国际象棋白方的后，戴尖齿王冠的棋子
2656	白车	国际象棋白方的车，城堡形状的棋子
2657	白象	国际象棋白方的象，主教尖帽形状的棋子
2658	白马	国际象棋白方的马，马头形状的棋子
2659	白兵	国际象棋白方的兵，个头最小的圆头棋子
265A	黑王	国际象棋黑方的王，整个涂黑的王棋
265B	黑后	国际象棋黑方的后，整个涂黑的后棋
265C	黑车	国际象棋黑方的车，整个涂黑的城堡形棋子
265D	黑象	国际象棋里黑方的象，走斜线
265E	黑马	国际象棋里黑方的马，走日字
265F	黑兵	国际象棋里黑方的兵，只能向前走
2660	黑桃	扑克花色，黑色实心桃形，底下带个小柄
2661	空心红心	扑克牌红心花色的空心写法
2662	空心方块	扑克牌方块花色的空心写法
2663	梅花	扑克花色，三个黑色实心圆瓣带柄
2664	空心黑桃	扑克牌黑桃花色的空心写法
2665	红桃	扑克花色，实心的心形
2666	方块	扑克花色，实心的菱形
2667	空心梅花	扑克牌梅花花色的空心写法
2668	温泉	水面上腾起三缕热气，日本地图上标温泉用它
2669	四分音符	实心符头加一根符干，没有符尾
266A	八分音符	实心符头加符干，带一条符尾
266B	双八分音符	两个八分音符用一条符杠连起来
266C	双十六分音符	两个十六分音符用双符杠连起来，不是单个音符
266D	降号	乐谱上把音降低半音
266E	还原号	取消前面的升号或降号，回到本位音
266F	升号	乐谱上把音升高半音，字形近似井号
2670	西叙利亚十字	西方叙利亚礼教会礼仪中使用的十字
2671	东叙利亚十字	东方叙利亚礼教会使用的十字，与西叙利亚十字相对
2672	循环利用	三个箭头首尾相接的空心回收三角
2673	回收 1 号	塑料回收编码一号，聚酯，常见于饮料瓶
2674	回收 2 号	塑料回收编码二号，高密度聚乙烯
2675	回收 3 号	塑料回收编码三号，聚氯乙烯
2676	回收 4 号	塑料回收编码四号，低密度聚乙烯
2677	回收 5 号	塑料回收编码五号，聚丙烯
2678	回收 6 号	塑料回收编码六号，聚苯乙烯
2679	回收 7 号	塑料回收编码七号，归为其他类塑料
267A	循环利用	实心的回收三角，泛指各类可回收材料
267B	回收	三支箭头首尾相接绕成三角，表示可回收再利用
267C	再生纸	表示纸张完全由回收纸浆制成
267D	部分再生纸	表示纸张只有一部分用了回收纸浆，区别于全再生纸
267E	无穷	横躺的八字形，原本印在能长期保存的无酸纸上，如今多当无穷用
2680	骰子一点	六面骰的一点面，方框中间一个圆点
2681	骰子二点	六面骰的二点面，两个圆点斜排
2682	骰子三点	六面骰的三点面，三个圆点斜排
2683	骰子四点	六面骰的四点面，四角各一个圆点
2684	骰子五点	六面骰的五点面，四角加中心
2685	骰子六点	六面骰的六点面，两列各三个圆点
2686	空心圆带右点	空心圆圈内偏右有一个实心点
2687	空心圆带两点	空心圆圈内左右各有一个实心点
2688	实心圆带右点	实心圆内偏右挖出一个白点
2689	实心圆带两点	实心圆内左右各挖出一个白点
268A	阳爻	易经里一条完整的长横，代表阳
268B	阴爻	易经里中间断开的一条横，代表阴
268C	四象老阳	两条长横相叠，易经四象中的太阳，也叫老阳
268D	四象少阴	易经四象中的少阴，由一条长横和一条断横组成
268E	四象少阳	易经四象中的少阳，长横和断横的上下位置与少阴相反
268F	四象老阴	两条断横相叠，易经四象中的太阴，也叫老阴
2690	空心旗子	旗杆上一面空心的旗，与实心旗相对
2691	实心旗子	旗杆上一面涂实的旗，与空心旗相对
2692	锤子和镐	一把锤子和一把尖镐交叉摆着，常代表采矿和工事
2694	交叉双剑	两把剑交叉成叉形，常表示战斗、对战
2695	医疗蛇杖	一条蛇缠绕在手杖上，医疗卫生行业常用
2696	天平	横梁两端各挂一个秤盘，常表示公正、法律
2697	蒸馏器	圆肚烧瓶接一根长弯管，化学蒸馏用的器皿
2698	花朵	一朵带枝叶的花的线条图形
2699	齿轮	一个带齿的圆轮，界面里常表示设置
269A	赫尔墨斯之杖	希腊神话中赫尔墨斯手持的杖，容易和医学蛇杖弄混
269B	原子	一个原子核外面绕着三圈椭圆轨道，常代表科学、原子能
269C	鸢尾花饰	三瓣百合形的花饰，欧洲王室纹章和童子军常用
269D	双线空心星	五角星外面再描一圈边线，比普通空心星多一层
269E	三线向右汇聚	三条线从左边散开，向右并到一点
269F	三线向左汇聚	三条线从右边散开，向左并到一点，与向右汇聚相对
26A0	警告	三角形里一个感叹号，提醒注意危险
26A2	双女性符号	两个女性符号相连，表示女性之间的同性关系
26A3	双男性符号	两个男性符号相连，表示男性之间的同性关系
26A4	男女相扣符号	女性圆圈和男性圆圈套在一起，表示异性关系
26A5	雌雄同体符号	一个圆上同时带男性箭头和女性十字，生物学上表示雌雄同体
26A6	男性符号带斜划	箭头朝右上的男性符号多一道斜划，用来表示跨性别
26A7	跨性别	一个圆圈同时带男性箭头、女性十字和一道带叉的箭头
26A8	竖箭头男性符号	男性符号的箭头改朝正上方，并多一道斜划
26A9	横箭头男性符号	男性符号的箭头改朝正右方，并多一道斜划
26AC	小空心圆	中等偏小的空心圆圈，比常见的空心圆小一号
26AD	婚姻	族谱中表示婚姻关系，两个圆圈横向相连
26AE	离婚	族谱中表示离婚，相连的两个圆圈被一道斜线切断
26AF	未婚伴侣	族谱中表示未登记的同居伴侣关系
26B0	棺材	竖着的六角形西式棺木
26B1	骨灰坛	带盖的陶罐，用来盛放骨灰
26B2	中性	生物学中表示无性或中性，圆圈下方一条竖线
26B3	谷神星	谷神星的天文写法，字形像一把镰刀
26B4	智神星	智神星的天文写法，字形像矛头
26B5	婚神星	婚神星的天文写法，权杖顶端一颗星
26B6	灶神星	灶神星的天文写法，字形取自祭坛与火
26B7	凯龙星	凯龙星的天文写法，字形像一把钥匙
26B8	黑月莉莉丝	占星中的月亮远地点，实心新月下方带十字
26B9	六分相	占星中相距六十度的相位，字形为六线星
26BA	半六分相	占星中相距三十度的相位
26BB	十二分之五相	占星中相距一百五十度的相位
26BC	补八分相	占星中相距一百三十五度的相位
26BF	方框钥匙	正方形边框里画一把钥匙
26C0	国际跳棋白子	国际跳棋中白方的普通棋子，空心圆形
26C1	国际跳棋白王	国际跳棋中白方的王棋，由两枚棋子叠成
26C2	国际跳棋黑子	国际跳棋中黑方的普通棋子，实心圆形
26C3	国际跳棋黑王	国际跳棋中黑方的王棋，由两枚棋子叠成
26C6	下雨	天气图中表示降雨
26C7	实心雪人	涂黑的雪人，空心雪人的实心版本
26C8	雷阵雨	乌云下面落着雨点，还劈着一道闪电
26C9	倒置将棋白子	日本将棋的白色棋子倒转，五边形尖端朝下
26CA	倒置将棋黑子	日本将棋的黑色棋子倒转，五边形尖端朝下
26CB	方框空心菱形	正方形边框里套一个空心菱形
26CC	车道交叉	路况图中表示两条车道交叉，字形为斜十字
26CD	故障车辆	路况图中表示车辆抛锚无法行驶
26CF	十字镐	木柄配弯尖铁头的挖矿镐
26D0	车辆打滑	路况图中表示汽车侧滑
26D1	救援头盔	安全帽正面带一个十字，救援人员佩戴
26D2	圆圈内车道交叉	圆形边框里的斜十字，表示车道交叉
26D3	铁链	两节相扣的金属链环
26D5	交替单向通行	路况图中表示靠左行驶路段轮流单向放行
26D6	实心双向通行	路况图中靠左行驶的双向通行，涂黑版本
26D7	空心双向通行	路况图中靠左行驶的双向通行，空心版本
26D8	实心左道合流	路况图中表示左侧车道并线，涂黑版本
26D9	空心左道合流	路况图中表示左侧车道并线，空心版本
26DA	减速慢行	路况图中提示放慢车速
26DB	粗线空心倒三角	边线加粗、尖端朝下的空心三角形
26DC	左侧入口封闭	路况图中标示左侧路口已封闭不能进入
26DD	方框打叉	正方形里一个斜十字
26DE	黑底白圆内斜线	涂黑的正方形里嵌一个白色圆圈，圆内一条自左上向右下的斜线
26DF	实心卡车	全部涂黑的卡车侧面剪影
26E0	左侧限制进入	路况图中左侧进入受限的第一种画法
26E1	左侧限制进入	路况图中左侧进入受限的第二种画法
26E2	天王星	天王星的天文学写法，与占星常用的天王星写法不同
26E3	粗圆圈带杠两点	加粗的圆圈被一道线贯穿，圆的上方并排两个圆点
26E4	五芒星	五条直线交错画成的五角星，一角朝上
26E5	右旋五芒星	笔画相互穿插编织的五角星，编织走向朝右
26E6	左旋五芒星	笔画相互穿插编织的五角星，编织走向朝左
26E7	倒五芒星	尖角朝下的五角星
26E8	盾牌黑十字	盾牌形状中央一个涂黑的十字
26E9	神社	日本神社门口那座朱红色的鸟居牌坊
26EB	城堡	地图图例中表示城堡
26EC	名胜古迹	地图图例中表示历史遗迹
26ED	无孔齿轮	齿轮图形，中央没有圆孔
26EE	带柄齿轮	齿轮图形，外侧伸出把手
26EF	灯塔	地图图例中表示灯塔
26F0	山	一座灰褐色的山峰，顶上没有积雪
26F1	沙滩伞	撑开插在地上的遮阳伞，多用来表示海滩度假
26F4	渡轮	一艘白色载客渡船，船身上立着烟囱
26F6	四角方框	只画出四个直角的方形轮廓，四边中间空缺
26F7	滑雪	一个人踩着滑雪板、握着雪杖俯身滑行
26F8	溜冰鞋	一只带冰刀的白色溜冰鞋
26F9	拍球的人	一个人单手拍球，做着运球动作
26FB	银行	日本地图图例中表示银行
26FC	墓地	地图图例中表示墓地，字形为墓碑
26FE	黑底杯子	涂黑的正方形上方放着一只杯子
26FF	白旗中间黑条	白色旗面正中一道水平黑色条纹
2700	实心剪刀	刀头圆钝的安全剪刀，通体涂黑
2701	剪刀	上侧刀刃张开的剪刀，只有轮廓
2702	剪刀	一把张开的剪刀，常用来标出裁剪、剪切的地方
2703	剪刀	下侧刀刃张开的剪刀，只有轮廓
2704	空心剪刀	剪刀轮廓，内部不填色
2706	电话位置	听筒图样，指示此处设有电话
2707	磁带机	两个卷盘的磁带驱动装置
2708	飞机	一架侧面看的客机剪影
2709	信封	封口朝上的信封，常表示邮件、来信
270C	剪刀手	食指和中指竖起分开，其余手指握住，表示胜利或者拍照比耶
270D	写字的手	一只握着笔正在纸上书写的手
270E	铅笔	笔尖朝右下方的铅笔
270F	铅笔	一支削尖的黄色铅笔，笔尖朝右下
2710	铅笔	笔尖朝右上方的铅笔
2711	空心笔尖	钢笔尖轮廓，内部不填色
2712	钢笔尖	黑色的蘸水笔尖，尖端朝下
2713	对勾	细笔画的勾，表示正确或已完成
2714	粗对勾	笔画加粗的勾，比普通对勾更醒目
2715	叉号	乘号形的叉，两笔等长匀称交叉
2716	乘号	加粗的斜叉，用作乘法运算
2717	叉号	手写体的选票叉，表示否决或错误
2718	粗叉号	笔画加粗的选票叉
2719	空心十字	四臂等长的十字，只有轮廓线
271A	粗十字	四臂等长的加粗十字，不是算术加号
271B	中空十字	四臂等长的十字，中心留有方孔
271C	粗中空十字	加粗的十字，中心留有方孔
271D	十字架	竖长横短的拉丁十字，代表基督教
271E	阴影十字架	空心的拉丁十字架，带投影
271F	空心十字架	拉丁十字架轮廓，竖臂长于横臂
2720	马耳他十字	四臂向外张开、共八个尖角的十字
2721	六芒星	两个正三角叠成的六角星，犹太教的大卫星
2722	四瓣水滴星号	四条水滴形辐条构成的星号
2723	四瓣气球星号	四条辐条末端鼓起如气球的星号
2724	粗四瓣气球星号	四条气球形辐条的星号，笔画加粗
2725	四瓣梅花星号	四条辐条末端像扑克梅花的星号
2726	实心四角星	四个尖角的星，通体涂黑
2727	空心四角星	四个尖角的星，只有轮廓不填色
2729	双线空心星	五角星轮廓外再加一圈描边
272A	圈中星	圆圈里套一个空心五角星
272B	中心镂空黑星	实心五角星，中央挖出五角形空洞
272C	黑心空心星	空心五角星，中央有一块黑芯
272D	描边实心星	实心五角星，外围再加一圈轮廓线
272E	粗描边实心星	实心五角星，外围轮廓线加粗
272F	风车星	五角星各角一半涂黑，像旋转的风车
2730	阴影星	空心五角星，右下方带投影
2731	粗星号	笔画加粗的星号，比普通星号厚重
2732	空心星号	星号的各条辐不相接，中心留空
2733	八角星号	八条短线从中心向四周放射的星号
2734	实心八角星	八个尖角的实心星形，整块填黑
2735	八角风车星	八个尖角同向偏转，像旋转的风车
2736	六角星	六个尖角的实心星
2737	八角星	八个直边尖角的实心星
2738	粗八角星	八个直边尖角的实心星，笔画更粗
2739	十二角星	十二个尖角的实心星
273A	十六角星号	十六条辐条向外发散的星号
273B	水滴星号	辐条呈水滴形的星号
273C	中空水滴星号	水滴形辐条的星号，中心留有空洞
273D	八角星花	水滴形辐条加粗的星号，形似花朵
273E	六瓣花	六片花瓣，黑白相间的小花
273F	实心花	花瓣围成一圈，通体涂黑
2740	空心花	只有轮廓、不填色的小花
2741	八瓣花	八片花瓣的实心小花，外带轮廓线
2742	圈中八角星	圆圈里套一个中心镂空的八角星
2743	水滴风车星号	水滴形辐条同向弯曲的加粗星号
2744	雪花	六角对称的雪花图样
2745	三叶雪花	枝杈紧凑、每边三片叶的雪花
2746	粗折线雪花	由加粗人字折线组成的雪花
2747	八角闪光	八条短线放射开的一点亮光，比三颗星的闪光单薄
2748	粗闪光	四角向外发散的加粗闪光图样
2749	气球星号	辐条末端鼓起如气球的星号
274A	八瓣螺旋桨星号	八条水滴形辐条排成螺旋桨状
274B	粗八瓣螺旋桨星号	八条水滴形辐条排成螺旋桨状，笔画加粗
274D	阴影圆	空心圆，右下方带投影
274F	阴影方框	空心方框，右下方带一层脱开的投影
2750	阴影方框	空心方框，右上方带一层脱开的投影
2751	阴影方框	空心方框，右下方带紧贴的阴影边
2752	阴影方框	空心方框，右上方带紧贴的阴影边
2756	叉形镂空黑菱形	实心菱形，中间挖去一个叉
2758	细竖条	细的竖直短棒
2759	中竖条	中等粗细的竖直短棒
275A	粗竖条	很粗的竖直短棒
275F	粗下沉单引号	装饰体单引号，压在基线下方
2760	粗下沉双引号	装饰体双引号，压在基线下方
2761	弯尾段落号	装饰体的分段标记，竖笔向下弯曲
2762	粗感叹号	装饰体的加粗感叹号，不是普通感叹号
2763	心形感叹号	一个感叹号，下面那一点是颗红心
2764	红心	一颗饱满的红色爱心，常表示喜欢、爱
2765	心形	倾斜旋转的实心心，用作项目起头
2766	心形花饰	叶片状的心形装饰图案
2767	倒置心形花饰	心形花饰旋转倒置，用作项目起头
2768	左圆括号	装饰体的中等粗细左圆括号
2769	右圆括号	装饰体的中等粗细右圆括号
276A	扁左圆括号	中粗装饰括号左半，弧线压得较扁
276B	扁右圆括号	中粗装饰括号右半，弧线压得较扁
276C	左尖括号	中粗装饰体，开口朝右
276D	右尖括号	中粗装饰体，开口朝左
276E	左尖引号	粗体装饰体，形如单书名号的左半
276F	右尖引号	粗体装饰体，形如单书名号的右半
2770	左尖括号	粗体装饰体，比尖引号瘦长，开口朝右
2771	右尖括号	粗体装饰体，比尖引号瘦长，开口朝左
2772	左六角括号	细体装饰括号左半，也叫龟甲括号
2773	右六角括号	细体装饰括号右半，也叫龟甲括号
2774	左花括号	中粗装饰体的大括号左半
2775	右花括号	中粗装饰体的大括号右半
2776	实心圈 1	黑底白字的圆圈数字，衬线字形
2777	实心圈 2	实心圈 2，黑底白字的圆圈数字，衬线字形
2778	实心圈 3	实心圈 3，黑底白字的圆圈数字，衬线字形
2779	实心圈 4	实心圈 4，黑底白字的圆圈数字，衬线字形
277A	实心圈 5	实心圈 5，黑底白字的圆圈数字，衬线字形
277B	实心圈 6	实心圈 6，黑底白字的圆圈数字，衬线字形
277C	实心圈 7	实心圈 7，黑底白字的圆圈数字，衬线字形
277D	实心圈 8	实心圈 8，黑底白字的圆圈数字，衬线字形
277E	实心圈 9	实心圈 9，黑底白字的圆圈数字，衬线字形
277F	实心圈 10	实心圈 10，黑底白字的圆圈数字，衬线字形
2780	带圈 1	空心圆圈里的无衬线数字
2781	带圈 2	带圈 2，空心圆圈里的无衬线数字
2782	带圈 3	带圈 3，空心圆圈里的无衬线数字
2783	带圈 4	带圈 4，空心圆圈里的无衬线数字
2784	带圈 5	带圈 5，空心圆圈里的无衬线数字
2785	带圈 6	带圈 6，空心圆圈里的无衬线数字
2786	带圈 7	带圈 7，空心圆圈里的无衬线数字
2787	带圈 8	带圈 8，空心圆圈里的无衬线数字
2788	带圈 9	带圈 9，空心圆圈里的无衬线数字
2789	带圈 10	带圈 10，空心圆圈里的无衬线数字
278A	实心圈 1	黑底白字的圆圈数字，无衬线字形
278B	实心圈 2	实心圈 2，黑底白字的圆圈数字，无衬线字形
278C	实心圈 3	实心圈 3，黑底白字的圆圈数字，无衬线字形
278D	实心圈 4	实心圈 4，黑底白字的圆圈数字，无衬线字形
278E	实心圈 5	实心圈 5，黑底白字的圆圈数字，无衬线字形
278F	实心圈 6	实心圈 6，黑底白字的圆圈数字，无衬线字形
2790	实心圈 7	实心圈 7，黑底白字的圆圈数字，无衬线字形
2791	实心圈 8	实心圈 8，黑底白字的圆圈数字，无衬线字形
2792	实心圈 9	实心圈 9，黑底白字的圆圈数字，无衬线字形
2793	实心圈 10	实心圈 10，黑底白字的圆圈数字，无衬线字形
2794	右箭头	粗杆右箭头，箭头特别宽
2798	东南箭头	粗体箭头，斜指右下方
2799	右箭头	通体加粗的右箭头，杆和头一样重
279A	东北箭头	粗体箭头，斜指右上方
279B	右箭头	箭尖细长如制图笔尖
279C	右箭头	粗体右箭头，箭尖是圆头
279D	右箭头	细杆右箭头，箭头是实心三角
279E	右箭头	粗杆右箭头，箭头是实心三角
279F	虚线右箭头	细虚线杆，箭头是实心三角
27A0	虚线右箭头	粗虚线杆，箭头是实心三角
27A1	右箭头	通体实心的黑右箭头
27A2	右箭头	没有箭杆的立体箭尖，上方受光
27A3	右箭头	没有箭杆的立体箭尖，下方受光
27A4	右箭头	没有箭杆的实心三角箭尖
27A5	下弯右箭头	粗黑箭头，向下弯折后转向右
27A6	上弯右箭头	粗黑箭头，向上弯折后转向右
27A7	右箭头	又短又粗的实心右箭头
27A8	右箭头	实心粗右箭头，尾端向内凹成尖
27A9	空心右箭头	右半边带阴影
27AA	空心右箭头	左半边带阴影
27AB	空心右箭头	带投影，向后倾斜
27AC	空心右箭头	带投影，向前倾斜
27AD	空心右箭头	加粗，右下方有投影
27AE	空心右箭头	加粗，右上方有投影
27AF	空心右箭头	尾端带缺口，右下方有投影
27B1	空心右箭头	尾端带缺口，右上方有投影
27B2	圈中右箭头	圆圈里嵌一个加粗的空心右箭头
27B3	羽尾右箭头	尾羽是空心的
27B4	羽尾东南箭头	尾羽实心，斜指右下方
27B5	羽尾右箭头	尾羽实心
27B6	羽尾东北箭头	尾羽实心，斜指右上方
27B7	羽尾东南箭头	尾羽实心且加粗，斜指右下方
27B8	羽尾右箭头	尾羽实心且加粗
27B9	羽尾东北箭头	尾羽实心且加粗，斜指右上方
27BA	右箭头	箭头倒钩呈水滴形
27BB	右箭头	箭杆呈水滴形的粗箭头
27BC	楔尾右箭头	尾端收成楔形
27BD	楔尾右箭头	尾端收成楔形，整体加粗
27BE	空心右箭头	只有外轮廓，尾端不封口
2B00	东北箭头	空心箭头，指向右上方
2B01	西北箭头	空心箭头，指向左上方
2B02	东南箭头	空心箭头，指向右下方
2B03	西南箭头	空心箭头，指向左下方
2B04	左右箭头	空心的水平双向箭头，左右两端各一个箭尖
2B05	左箭头	加粗的黑色箭头，箭尖朝左
2B06	上箭头	加粗的黑色箭头，箭尖朝上
2B07	下箭头	加粗的黑色箭头，箭尖朝下
2B08	东北箭头	实心箭头，指向右上方
2B09	西北箭头	实心箭头，指向左上方
2B0A	东南箭头	实心箭头，指向右下方
2B0B	西南箭头	实心箭头，指向左下方
2B0C	左右箭头	实心的水平双向箭头，左右两端各一个箭尖
