# 数学符号。用 Opus 5 逐块重写，覆盖到 Unicode 各数学块的全部已分配码位。
# 格式：码位序列 <TAB> 简洁读法 <TAB> 详细读法（留空表示与简洁相同） <TAB> 选项
# 引号不在本表：全部收在 symbols-quotes.tsv，简洁档统一读一个字「引」。
2022	圆点		# BULLET
2030	千分之		# PER MILLE SIGN
2031	万分之		# PER TEN THOUSAND SIGN
2032	分		# PRIME	?after_latin=导数
2033	秒		# DOUBLE PRIME	?after_latin=二阶导数
2034	三分		# TRIPLE PRIME
2044	分数线		# FRACTION SLASH
2070	上标 0	上标的零，写在右上角表示零次方，也用作脚注序号
2282	包含于	集合包含关系，左边是右边的子集，开口朝右，下面不带横线
2283	包含	集合包含关系，左边包含右边，开口朝左，下面不带横线
2284	不包含于	包含于号加一道斜杠，左边不是右边的子集
2285	不包含	包含号加一道斜杠，左边不包含右边
2286	子集	包含于号下面加一道横线，允许两个集合相等
2287	超集	包含号下面加一道横线，允许两个集合相等
2288	不是子集	带下横线的包含于号加一道斜杠，既不是子集也不相等
2289	不是超集	带下横线的包含号加一道斜杠，既不包含也不相等
228A	真子集	包含于号下面带一个被划掉的等号，是子集但两边不相等
228B	真超集	包含号下面带一个被划掉的等号，包含右边但两边不相等
228C	多重集	允许同一个元素重复出现的集合
228D	多重集乘	多重集之间的乘法，开口朝上的杯形里面加一个点
228E	多重集并	多重集之间的并，开口朝上的杯形里面加一个加号，重复元素的个数相加
228F	方包含于	直角方头的包含于号，开口朝右，下面不带横线
2290	方包含	直角方头的包含号，开口朝左，下面不带横线
2291	方包含于	直角方头的包含于号下面加一道横线，允许两边相等
2292	方包含	直角方头的包含号下面加一道横线，允许两边相等
2293	方交集	方角的交集号，开口朝下，格论里表示两个元素的下确界
2294	方并集	方角的并集号，开口朝上，格论里表示两个元素的上确界
2295	圈加	圆圈里一个加号，常表示直和或者按位异或
2296	圈减	圆圈里一个减号，常表示某种特定的减法，例如集合的对称差
2297	张量积	圆圈里一个叉号，表示张量积或者直积
2298	圈除	圆圈里一道从左下到右上的斜杠，表示圈起来的除法
2299	圈点	圆圈中间一个点，中学几何里写在字母前面表示圆，运算里常表示逐元素相乘
229A	圈圆	大圆圈里面再套一个小圆圈
229B	圈星	圆圈里一个星号，常用来表示卷积
229C	圈等	圆圈里一个等号
229D	圈杠	圆圈里一道不接触圆边的短横，比圈减的横线短
229E	方加	方框里一个加号
229F	方减	方框里一个减号
22A0	方乘	方框里一个叉号
22A1	方点	方框里一个点
22A2	推导	一条竖线右边加一道横线，逻辑里表示左边能证出右边
22A3	左推导	推导号左右翻转，一条竖线左边加一道横线，范畴论里表示左伴随
22A4	恒真	垂直号倒过来写，逻辑里表示恒为真，格论里表示最大元
22A5	垂直	一道横线上面立一竖，几何里表示垂直，逻辑里表示恒为假
22A6	断言	写法和推导号相同，一竖右边加一横，用来断定后面的命题成立
22A7	语义蕴涵	一条竖线右边加两道横线，表示左边在语义上蕴涵右边
22A8	满足	双横线的推导号，模型论里表示左边的模型让右边成立
22A9	强制	两条竖线右边加一道横线，集合论力迫法里表示左边强制右边成立
22AA	三竖强制	强制号左边再加一条竖线，一共三条竖线一道横线
22AB	双横强制	强制号的横线加倍，两条竖线右边加两道横线
22AC	不可推导	推导号加一道斜杠，左边推不出右边
22AD	不满足	双横线的推导号加一道斜杠，右边在左边的模型里不成立
22AE	不强制	强制号加一道斜杠，两条竖线一道横线被划掉
22AF	不强制	双横强制号加一道斜杠，两条竖线两道横线被划掉
22B0	前于	序关系，表示在某个给定的关系下排在前面
22B1	后于	序关系，表示在某个给定的关系下排在后面
22B2	正规子群	群论里表示左边是右边的正规子群，尖角朝左的三角，下面不带横线
22B3	含正规子群	群论里表示右边是左边的正规子群，尖角朝右的三角，下面不带横线
22B4	正规子群	尖角朝左的三角下面加一道横线，允许左右两个群相等
22B5	含正规子群	尖角朝右的三角下面加一道横线，允许左右两个群相等
22B6	原像	对应关系号，表示左边是右边的原像，与映像号左右镜像
22B7	映像	对应关系号，表示左边是右边的映像，与原像号左右镜像
22B8	线性蕴涵	线性逻辑里的蕴涵号，左端一个小圆圈，右边一条带箭头的横线
22B9	厄米共轭	矩阵的厄米共轭，也就是先转置再取共轭
22BA	转置	一道横线下面加一竖的丁字形，常用来标记矩阵的转置
22BB	异或	逻辑异或，或号上面加一道横线，两边真假不同时才成立
22BC	与非	逻辑与非，与号上面加一道横线，两边都为真时才为假
22BD	或非	逻辑或非，或号下面加一道横线，两边都为假时才为真
22BE	直角	几何图里标注直角，两条互相垂直的短线之间画一段小弧
22BF	直角三角形	空心的直角三角形，直角在右下角
22C0	大与	放大的逻辑与，尖角朝上，对一组命题连续取合取
22C1	大或	放大的逻辑或，尖角朝下，对一组命题连续取析取
22C2	大交	放大的交集，开口朝下，对一族集合连续求交
22C3	大并	放大的并集，开口朝上，对一族集合连续求并
22C4	菱形算子	公式里的小菱形二元算子，比几何图形的菱形小
22C5	点乘	居中的小圆点，表示相乘或点积，也用作一般二元运算
22C6	星乘	居中的小星形二元算子，常用来写卷积一类的运算
22C7	叉形除号	除号的横线换成乘号的叉，上下各留一点
22C8	领结	两个三角尖角相对，形似领结，数据库查询里表示连接运算
22C9	左半直积	群论里的半直积算子，字形带一条竖线，方向朝左
22CA	右半直积	群论里的半直积算子，字形带一条竖线，方向朝右
22CB	左半直积	半直积的另一种字形，三条笔画交于一点，不带竖线，方向朝左
22CC	右半直积	半直积的另一种字形，三条笔画交于一点，不带竖线，方向朝右
22CD	反向相似等于	反向的波浪线下面加一条横线，与相似等于号左右镜像
22CE	曲线逻辑或	逻辑或的变体，开口朝上，两笔末端带卷曲
22CF	曲线逻辑与	逻辑与的变体，尖角朝上，两笔末端带卷曲
22D0	双重包含于	包含于号里再套一道弧线，分析里也用来表示紧包含
22D1	双重包含	包含号里再套一道弧线，开口朝左，是双重包含于的反向写法
22D2	双重交集	交集号里再套一道弧线，开口朝下
22D3	双重并集	并集号里再套一道弧线，开口朝上
22D4	横截相交	拓扑里表示两个子流形横截相交，字形像一把叉子
22D5	相等且平行	几何里表示两条线段既相等又平行，字形像井号，两横加两竖
22D6	带点小于	小于号里加一个点，序理论里表示紧邻的小于，也就是覆盖关系
22D7	带点大于	大于号里加一个点，序理论里表示紧邻的大于
22D8	远小于	三个小于号并排，比两个小于号的写法程度更强
22D9	远大于	三个大于号并排，比两个大于号的写法程度更强
22DA	小于或等于或大于	小于号在上、大于号在下，中间夹一条等号横线，三种关系任取其一
22DB	大于或等于或小于	大于号在上、小于号在下，中间夹一条等号横线，顺序与小于在上的写法相反
22DC	等于或小于	等号在上、小于号在下，与常见的小于等于号上下顺序相反
22DD	等于或大于	等号在上、大于号在下，与常见的大于等于号上下顺序相反
22DE	等于或先于	等号在上、先于号在下，先于号是弧线形的小于号，用于偏序比较
22DF	等于或后于	等号在上、后于号在下，后于号是弧线形的大于号，用于偏序比较
22E0	不先于也不等于	先于等于号加一道斜杠，偏序里表示左边不排在右边前面
22E1	不后于也不等于	后于等于号加一道斜杠，偏序里表示左边不排在右边后面
22E2	不方包含于	直角写法的包含于号整体加一道斜杠，表示方包含关系不成立
22E3	不方包含	直角写法的包含号整体加一道斜杠，开口方向与不方包含于相反
22E4	方真包含于	直角写法的包含于号，下面的等号被划掉，表示方包含且不相等
22E5	方真包含	直角写法的包含号，下面的等号被划掉，开口方向与方真包含于相反
22E6	小于但不等价	小于号下面是一条被划掉的波浪线，排除的是等价而不是相等
22E7	大于但不等价	大于号下面是一条被划掉的波浪线，排除的是等价而不是相等
22E8	先于但不等价	弧线形的先于号下面加一条被划掉的波浪线，用于偏序比较
22E9	后于但不等价	弧线形的后于号下面加一条被划掉的波浪线，用于偏序比较
22EA	不是正规子群	尖角朝左的三角加一道斜杠，表示左边不是右边的正规子群
22EB	不是正规子群	尖角朝右的三角加一道斜杠，表示右边不是左边的正规子群
22EC	不是正规子群	尖角朝左的三角下面带等号横线，整体加斜杠，连相等的情况也排除
22ED	不是正规子群	尖角朝右的三角下面带等号横线，整体加斜杠，连相等的情况也排除
22EE	竖排省略号	三个点竖着排，矩阵和列表里表示中间省略若干行
22EF	居中省略号	三个点排在行高的中线上，公式里用，比落在基线的省略号位置高
22F0	右上斜省略号	三个点从左下斜向右上排列，矩阵里表示沿反对角线省略
22F1	右下斜省略号	三个点从左上斜向右下排列，矩阵里表示沿主对角线省略
22F2	属于	属于号中间的横线加长伸出
22F3	属于	属于号中间的横线末端加一小竖
22F4	属于	小一号的属于号，中间横线末端加一小竖
22F5	属于	属于号上面加一个点
22F6	属于	属于号上面加一条横线
22F7	属于	小一号的属于号，上面加一条横线
22F8	属于	属于号下面加一条横线
22F9	属于	属于号里面有两条横线
22FA	含有	反写的属于号，表示左边含有右边这个元素，中间横线加长伸出
22FB	含有	反写的属于号，中间横线末端加一小竖
22FC	含有	小一号的反写属于号，中间横线末端加一小竖
22FD	含有	反写的属于号，上面加一条横线
22FE	含有	小一号的反写属于号，上面加一条横线
22FF	多重集属于	形式化规约里表示元素属于一个多重集，字形是方角写法的属于号
27C0	立体角	三维空间里的角，字形在角形上再加一竖笔
27C1	双层空心三角	大空心三角里面又套一个小空心三角
27C2	垂直	几何中表示两条直线互成直角
27C3	开口子集号	子集号的变体写法，弧线一端不闭合
27C4	开口超集号	超集号的变体写法，弧线一端不闭合
27C5	左袋括号	多重集的左定界括号，字形是弯曲的钩形笔画
27C6	右袋括号	多重集的右定界括号，字形是弯曲的钩形笔画
27C7	带点逻辑或	析取号内部加一个圆点
27C8	反斜线加子集号	子集号前面紧跟一条反斜线
27C9	超集号加斜线	超集号后面紧跟一条正斜线
27CA	带横杠的竖线	一条竖线中部横穿一小段横笔
27CB	上升对角线	数学排版用的左低右高斜线
27CC	长除号	竖式除法里罩住被除数的那一笔
27CD	下降对角线	数学排版用的左高右低斜线
27CE	方框逻辑与	方框里套一个合取号，尖头朝上
27CF	方框逻辑或	方框里套一个析取号，尖头朝下
27D0	带点空心菱形	空心菱形正中央有一个实心圆点
27D1	带点逻辑与	合取号上加一个圆点
27D2	开口朝上属于号	属于号转向，开口对着正上方
27D3	带点右下角	右下方的直角折线，角内有一个圆点
27D4	带点左上角	左上方的直角折线，角内有一个圆点
27D5	左外连接	关系代数里的左外连接运算
27D6	右外连接	关系代数里的右外连接运算
27D7	全外连接	关系代数里的全外连接运算
27D8	大号底元素	放大的垂直号，格论里表示最小元、逻辑里表示假
27D9	大号顶元素	垂直号上下翻转再放大，格论里表示最大元、逻辑里表示真
27DA	双向双线推出	一条竖线左右各伸出双横线，逻辑中表示两边语义等价
27DB	双向推出	一条竖线左右各伸出一条横线，表示两边互相推出
27DC	左多重映射	多重映射号的镜像写法，横线一端接竖笔、另一端带小圆圈
27DD	加长右推出	竖线在左、长横线向右伸，推出号的加长写法
27DE	加长左推出	竖线在右、长横线向左伸，反向推出号的加长写法
27DF	带圈垂直号	垂直号的正上方加一个小圆圈
27E0	中间带横的菱形	空心菱形被一条水平横线从当中分开
27E1	凹边空心菱形	四条边都向内弯成弧形的空心菱形，不带短线
27E2	凹边菱形带左钩	四边内凹的空心菱形，左侧伸出一小段短线
27E3	凹边菱形带右钩	四边内凹的空心菱形，右侧伸出一小段短线
27E4	空心方块带左钩	空心正方形，左侧伸出一小段短线
27E5	空心方块带右钩	空心正方形，右侧伸出一小段短线
27E6	左白方括号	双线空心的方括号，开口朝右，区别于普通左方括号
27E7	右白方括号	双线空心的方括号，开口朝左，区别于普通右方括号
27E8	左尖括号	数学排版用的左尖括号，比小于号窄长，常成对表示内积
27E9	右尖括号	数学排版用的右尖括号，比大于号窄长，常成对表示内积
27EA	左双尖括号	两层叠放的左尖括号，开口朝右
27EB	右双尖括号	两层叠放的右尖括号，开口朝左
27EC	左白龟壳括号	龟壳括号的双线空心写法，开口朝右，区别于实线龟壳括号
27ED	右白龟壳括号	龟壳括号的双线空心写法，开口朝左，区别于实线龟壳括号
27EE	左扁圆括号	弧度压得较平的左圆括号，开口朝右，数学排版用
27EF	右扁圆括号	弧度压得较平的右圆括号，开口朝左，数学排版用
27F0	四重上箭头	向上的箭头，箭杆由四道平行线组成，比双线箭头更密
27F1	四重下箭头	向下的箭头，箭杆由四道平行线组成，方向与四重上箭头相反
27F2	逆时针	带缺口的圆环形箭头，箭头沿逆时针方向绕行
27F3	顺时针	带缺口的圆环形箭头，箭头沿顺时针方向绕行
27F4	带圈加号右箭头	向右的箭头，箭杆中段嵌着一个圈住的加号
27F5	长左箭头	加长的单线左箭头，字形比普通左箭头长一截
27F6	长右箭头	加长的单线右箭头，字形比普通右箭头长一截
27F7	长双向箭头	加长的双向箭头，两端各有一个箭头，比普通双向箭头长
27F8	反向推出	加长的双线左箭头，由右边推出左边，比普通蕴含箭头长
27F9	推出	加长的双线右箭头，由左边推出右边，比普通蕴含箭头长
27FA	等价于	加长的双线双向箭头，两边互相推出，即当且仅当
27FB	左映射	加长的映射箭头，尾端带一竖，箭头朝左
27FC	映射	加长的映射箭头，尾端带一竖，读作映射到，指出元素对应的值
27FD	反向推出映射	加长的双线左箭头，尾端带一竖，推出箭头与映射箭头的合体，朝左
27FE	推出映射	加长的双线右箭头，尾端带一竖，推出箭头与映射箭头的合体，朝右
27FF	长波形右箭头	加长的右箭头，箭杆是一条波浪线，比普通波形右箭头长
2900	双头右箭头	向右的箭头，头部叠着两个箭尖，箭杆中间竖划一道
2901	双头右箭头	向右的箭头，头部叠着两个箭尖，箭杆中间竖划两道
2902	双线左箭头	箭杆是两条平行线的左箭头，杆上竖划一道
2903	双线右箭头	箭杆是两条平行线的右箭头，杆上竖划一道
2904	双线双向箭头	箭杆是两条平行线，左右两端都有箭尖，杆中间竖划一道
2905	双头右箭头	从一条竖线起笔向右，头部叠着两个箭尖，杆上不加竖划
2906	双线左箭头	从一条竖线起笔向左，箭杆是两条平行线
2907	双线右箭头	从一条竖线起笔向右，箭杆是两条平行线
2908	带横杠下箭头	向下的箭头，箭杆中间横划一道
2909	带横杠上箭头	向上的箭头，箭杆中间横划一道
290A	三线上箭头	箭杆由三条平行竖线组成，一个箭尖朝上
290B	三线下箭头	箭杆由三条平行竖线组成，一个箭尖朝下
290C	虚线左箭头	箭杆断成两小段的左箭头
290D	虚线右箭头	箭杆断成两小段的右箭头
290E	虚线左箭头	箭杆断成三小段的左箭头
290F	虚线右箭头	箭杆断成三小段的右箭头
2910	虚线双头右箭头	箭杆断成三小段，头部叠着两个箭尖，朝右
2911	点线右箭头	箭杆是一串小圆点，一个箭尖朝右
2912	上箭头顶横线	向上的箭头，箭尖顶在一条横线上
2913	下箭头顶横线	向下的箭头，箭尖顶在一条横线上
2914	带尾右箭头	向右的箭头，尾端多一个小尖，箭杆上竖划一道
2915	带尾右箭头	向右的箭头，尾端多一个小尖，箭杆上竖划两道
2916	带尾双头右箭头	向右的箭头，头部叠着两个箭尖，尾端多一个小尖，杆上不加竖划
2917	带尾双头右箭头	向右的箭头，头部两个箭尖，尾端多一个小尖，杆上竖划一道
2918	带尾双头右箭头	向右的箭头，头部两个箭尖，尾端多一个小尖，杆上竖划两道
2919	左箭尾	一条短横线，左端带一个朝左的小尖，只有箭尾没有箭头
291A	右箭尾	一条短横线，右端带一个朝右的小尖，只有箭尾没有箭头
291B	双线左箭尾	横线是两条平行线，左端带一个朝左的小尖，没有箭头
291C	双线右箭尾	横线是两条平行线，右端带一个朝右的小尖，没有箭头
291D	左箭头指菱形	向左的箭头，箭尖顶着一个实心菱形
291E	右箭头指菱形	向右的箭头，箭尖顶着一个实心菱形
291F	左箭头指菱形	从一条竖线起笔向左，箭尖顶着一个实心菱形
2920	右箭头指菱形	从一条竖线起笔向右，箭尖顶着一个实心菱形
2921	斜向双向箭头	一条从左上到右下的斜线，两端都有箭尖
2922	斜向双向箭头	一条从左下到右上的斜线，两端都有箭尖
2923	带钩左上箭头	指向左上方的斜箭头，右下的尾端弯出一个小钩
2924	带钩右上箭头	指向右上方的斜箭头，左下的尾端弯出一个小钩
2925	带钩右下箭头	指向右下方的斜箭头，左上的尾端弯出一个小钩
2926	带钩左下箭头	指向左下方的斜箭头，右上的尾端弯出一个小钩
2927	左上右上两箭头	并排两支不交叉的斜箭头，一支指左上，一支指右上
2928	右上右下两箭头	并排两支不交叉的斜箭头，一支指右上，一支指右下
2929	右下左下两箭头	并排两支不交叉的斜箭头，一支指右下，一支指左下
292A	左下左上两箭头	并排两支不交叉的斜箭头，一支指左下，一支指左上
292B	斜线交叉	两条斜线交叉成叉形，都不带箭尖，左下到右上那条压在上面
292C	斜线交叉	两条斜线交叉成叉形，都不带箭尖，左上到右下那条压在上面
292D	交叉两箭头	两支斜箭头交叉成叉形，指右下的那支压在指右上的那支上面
292E	交叉两箭头	两支斜箭头交叉成叉形，指右上的那支压在指右下的那支上面
292F	斜线交叉箭头	一条左上到右下的无箭尖斜线，压在一支指右上的箭头上面
2930	斜线交叉箭头	一条左下到右上的无箭尖斜线，压在一支指右下的箭头上面
2931	交叉两箭头	两支斜箭头交叉成叉形，指右上的那支压在指左上的那支上面
2932	交叉两箭头	两支斜箭头交叉成叉形，指左上的那支压在指右上的那支上面
2933	波形右箭头	箭杆是一条水平的波浪线，箭尖朝右
2934	上弯箭头	先向右再向上弯的箭头
2935	下弯箭头	先向右再向下弯的箭头
2936	下行左拐箭头	先向下走，再拐向左，箭尖朝左
2937	下行右拐箭头	先向下走，再拐向右，箭尖朝右
2938	顺时针右弧箭头	圆的右半边那段弧，弧上带箭尖，顺时针方向
2939	逆时针左弧箭头	圆的左半边那段弧，弧上带箭尖，逆时针方向
293A	逆时针上弧箭头	圆的上半边那段弧，弧上带箭尖，逆时针方向
293B	逆时针下弧箭头	圆的下半边那段弧，弧上带箭尖，逆时针方向
293C	顺时针上弧带减号	圆的上半边那段弧，顺时针方向，弧上加一个减号
293D	逆时针上弧带加号	圆的上半边那段弧，逆时针方向，弧上加一个加号
293E	顺时针半圆箭头	右下方的半圆弧，顺时针方向，弧端带箭尖
293F	逆时针半圆箭头	左下方的半圆弧，逆时针方向，弧端带箭尖
2940	逆时针圆圈箭头	一个完整的圆圈，圆周上带箭尖，逆时针方向
2941	顺时针圆箭头	画成完整闭合的一圈，箭头顺着钟表方向绕；开口的那种圈上留着缺口
2942	上右下左反向箭头	上边一条长的右箭头，下边一条短的左箭头
2943	上左下右反向箭头	上边一条长的左箭头，下边一条短的右箭头
2944	上右下左反向箭头	上边的右箭头是短的，下边的左箭头是长的
2945	带加号右箭头	一条右箭头，箭杆下面写一个加号
2946	带加号左箭头	一条左箭头，箭杆下面写一个加号
2947	穿叉右箭头	右箭头中段穿过一个叉
2948	穿圈左右箭头	两头都带箭头的横线，中间穿过一个小圆圈
2949	圆圈起双头上箭头	从一个小圆圈往上走，顶端叠着两个箭头
294A	左钩上右钩下鱼叉	一条横线两端各有半边箭羽，左端的钩朝上，右端的钩朝下
294B	左钩下右钩上鱼叉	一条横线两端各有半边箭羽，左端的钩朝下，右端的钩朝上
294C	上钩右下钩左鱼叉	一条竖线两端各有半边箭羽，上端的钩朝右，下端的钩朝左
294D	上钩左下钩右鱼叉	一条竖线两端各有半边箭羽，上端的钩朝左，下端的钩朝右
294E	两端钩朝上鱼叉	一条横线，左右两端的钩都朝上
294F	两端钩朝右鱼叉	一条竖线，上下两端的钩都朝右
2950	两端钩朝下鱼叉	一条横线，左右两端的钩都朝下
2951	两端钩朝左鱼叉	一条竖线，上下两端的钩都朝左
2952	左鱼叉上抵杆	钩朝上的左向鱼叉，箭尖抵住一条竖杆
2953	右鱼叉上抵杆	钩朝上的右向鱼叉，箭尖抵住一条竖杆
2954	上鱼叉右抵杆	钩朝右的向上鱼叉，箭尖抵住一条横杆
2955	下鱼叉右抵杆	钩朝右的向下鱼叉，箭尖抵住一条横杆
2956	左鱼叉下抵杆	钩朝下的左向鱼叉，箭尖抵住一条竖杆
2957	右鱼叉下抵杆	钩朝下的右向鱼叉，箭尖抵住一条竖杆
2958	上鱼叉左抵杆	钩朝左的向上鱼叉，箭尖抵住一条横杆
2959	下鱼叉左抵杆	钩朝左的向下鱼叉，箭尖抵住一条横杆
295A	左鱼叉上出杆	钩朝上的左向鱼叉，箭尾连着一条竖杆，从杆上发出
295B	右鱼叉上出杆	钩朝上的右向鱼叉，箭尾连着一条竖杆，从杆上发出
295C	上鱼叉右出杆	钩朝右的向上鱼叉，箭尾连着一条横杆，从杆上发出
295D	下鱼叉右出杆	钩朝右的向下鱼叉，箭尾连着一条横杆，从杆上发出
295E	左鱼叉下出杆	钩朝下的左向鱼叉，箭尾连着一条竖杆，从杆上发出
295F	右鱼叉下出杆	钩朝下的右向鱼叉，箭尾连着一条竖杆，从杆上发出
2960	上鱼叉左出杆	钩朝左的向上鱼叉，箭尾连着一条横杆，从杆上发出
2961	下鱼叉左出杆	钩朝左的向下鱼叉，箭尾连着一条横杆，从杆上发出
2962	上下双左鱼叉	上下叠着两条左向鱼叉，上面那条钩朝上，下面那条钩朝下
2963	并排双上鱼叉	左右并排两条向上鱼叉，左边那条钩朝左，右边那条钩朝右
2964	上下双右鱼叉	上下叠着两条右向鱼叉，上面那条钩朝上，下面那条钩朝下
2965	并排双下鱼叉	左右并排两条向下鱼叉，左边那条钩朝左，右边那条钩朝右
2966	上左下右鱼叉对	上边左向鱼叉，下边右向鱼叉，两条的钩都朝上
2967	上左下右鱼叉对	上边左向鱼叉，下边右向鱼叉，两条的钩都朝下
2968	上右下左鱼叉对	上边右向鱼叉，下边左向鱼叉，两条的钩都朝上；化学里写可逆反应的那一对，下边那条钩是朝下的
2969	上右下左鱼叉对	上边右向鱼叉，下边左向鱼叉，两条的钩都朝下
296A	左鱼叉上带下横线	钩朝上的左向鱼叉，下面配一条长横线
296B	左鱼叉下带上横线	上边一条长横线，下面是钩朝下的左向鱼叉
296C	右鱼叉上带下横线	钩朝上的右向鱼叉，下面配一条长横线
296D	右鱼叉下带上横线	上边一条长横线，下面是钩朝下的右向鱼叉
296E	左上右下鱼叉对	左右并排，左边一条向上鱼叉钩朝左，右边一条向下鱼叉钩朝右
296F	左下右上鱼叉对	左右并排，左边一条向下鱼叉钩朝左，右边一条向上鱼叉钩朝右
2970	圆头双线右箭头	双线画的右箭头，箭尖是圆弧形，不是尖角
2971	上等号下右箭头	上面一个等号，下面一条右箭头
2972	上波浪线下右箭头	上面一条波浪线，下面一条右箭头
2973	上左箭头下波浪线	上面一条左箭头，下面一条波浪线
2974	上右箭头下波浪线	上面一条右箭头，下面一条波浪线
2975	上右箭头下约等号	上面一条右箭头，下面一个约等号，就是两条叠起来的波浪线
2976	上小于号下左箭头	上面一个小于号，下面一条左箭头
2977	穿小于号左箭头	左箭头从一个小于号中间穿过去
2978	上大于号下右箭头	上面一个大于号，下面一条右箭头
2979	上子集号下右箭头	上面一个开口朝右的子集包含号，下面一条右箭头
297A	穿子集号左箭头	左箭头从一个子集包含号中间穿过去
297B	上超集号下左箭头	上面一个开口朝左的超集包含号，下面一条左箭头
297C	左鱼尾	两条弧线合成的鱼尾形状，横着朝左
297D	右鱼尾	两条弧线合成的鱼尾形状，横着朝右
297E	上鱼尾	两条弧线合成的鱼尾形状，竖着朝上
297F	下鱼尾	两条弧线合成的鱼尾形状，竖着朝下
2980	三竖线	三条并排的竖线，用作分隔
2981	实心圆点	居中的实心小圆点，形式规格记法里用作分隔
2982	类型冒号	形式规格记法里用来标注类型的冒号
2983	左空心花括号	双线花括号的左半，比普通左花括号多一道边
2984	右空心花括号	双线花括号的右半，比普通右花括号多一道边
2985	左空心圆括号	双线圆括号的左半，比普通左圆括号多一道弧
2986	右空心圆括号	双线圆括号的右半，比普通右圆括号多一道弧
2987	左括号带竖线	左圆括号右侧再加一道竖线，形式规格记法用
2988	右括号带竖线	右圆括号左侧再加一道竖线，与左边那个配对
2989	左尖括号带竖线	左尖括号右侧再加一道竖线，形式规格记法用
298A	右尖括号带竖线	右尖括号左侧再加一道竖线，与左边那个配对
298B	左方括号带底线	左方括号下端接一道横线
298C	右方括号带底线	右方括号下端接一道横线
298D	左方括号带上钩	左方括号顶端角上多一个小钩
298E	右方括号带下钩	右方括号底端角上多一个小钩
298F	左方括号带下钩	左方括号底端角上多一个小钩
2990	右方括号带上钩	右方括号顶端角上多一个小钩
2991	左尖括号带点	左尖括号当中加一个小圆点
2992	右尖括号带点	右尖括号当中加一个小圆点
2993	左弧形括号	弯成弧线的左括号，形状像小于号
2994	右弧形括号	弯成弧线的右括号，形状像大于号
2995	左双弧括号	两道弧线的左括号，形状像大于号
2996	右双弧括号	两道弧线的右括号，形状像小于号
2997	左实心龟甲括号	涂黑的六角形括号左半
2998	右实心龟甲括号	涂黑的六角形括号右半
2999	点状竖线	由一串小圆点排成的竖直分隔线
299A	竖直锯齿线	上下走向的之字形折线
299B	测量角开口朝左	角里画一道小弧线表示已量出角度，开口朝左
299C	直角带小方块	直角的写法，拐角处画一个小正方形
299D	直角带点	直角的写法，角内标一个小圆点
299E	角里带曲线	角的开口里画一条弯曲的细线
299F	锐角	小于直角的角
29A0	球面角开口朝左	球面上的角，开口朝向左边
29A1	球面角开口朝上	球面上的角，开口朝向上方
29A2	翻转角	角的写法整个转过半圈
29A3	反向角	角左右镜像，开口朝左
29A4	角带底线	角的下面加一道横线
29A5	反向角带底线	左右镜像的角，下面加一道横线
29A6	斜角开口朝上	两条斜线夹成的角，开口朝上
29A7	斜角开口朝下	两条斜线夹成的角，开口朝下
29A8	测量角箭头朝上	张开那条边末端箭头朝上，另一条边朝右伸出
29A9	测量角箭头朝上	张开那条边末端箭头朝上，另一条边朝左伸出
29AA	测量角箭头朝下	张开那条边末端箭头朝下，另一条边朝右伸出
29AB	测量角箭头朝下	张开那条边末端箭头朝下，另一条边朝左伸出
29AC	测量角箭头朝右	张开那条边末端箭头朝右，另一条边朝上伸出
29AD	测量角箭头朝左	张开那条边末端箭头朝左，另一条边朝上伸出
29AE	测量角箭头朝右	张开那条边末端箭头朝右，另一条边朝下伸出
29AF	测量角箭头朝左	张开那条边末端箭头朝左，另一条边朝下伸出
29B0	反向空集	空集当中的斜线方向与通常相反
29B1	空集带上横线	空集上方加一道横线
29B2	空集带上小圈	空集上方加一个小圆圈
29B3	空集带右箭头	空集上方加一个朝右的箭头
29B4	空集带左箭头	空集上方加一个朝左的箭头
29B5	圈横线	圆圈里嵌一道水平横线
29B6	圈竖线	圆圈里嵌一道竖线
29B7	圈平行	圆圈里嵌平行号，两道并排竖线
29B8	圈反斜线	圆圈里嵌一道左上到右下的反斜线
29B9	圈垂直	圆圈里嵌垂直号，一竖立在一横上
29BA	圈里分成三格	圆被一道横线分成上下两半，上半再被竖线分开
29BB	圈叉	叉号叠在圆上，笔画伸出圆外，比圈乘号的叉大
29BC	圈里竖着的除号	除号侧转后嵌在圆圈里，一道竖线左右各一点
29BD	上箭头穿圆	一支朝上的箭头从圆圈当中穿过
29BE	圈内空心圆点	大圆圈里套一个空心小圆
29BF	圈内实心圆点	大圆圈里套一个实心小圆点
29C0	圈小于	圆圈里包一个小于号
29C1	圈大于	圆圈里包一个大于号
29C2	圆圈右带小圆	一个圆圈，右边紧挨一个更小的圆圈
29C3	圆圈右带两横	一个圆圈，右边紧跟两条短横线
29C4	方内斜杠	方框里一条从左下到右上的斜线
29C5	方内反斜杠	方框里一条从左上到右下的斜线，与方内斜杠方向相反
29C6	方内星号	方框里包一个星号
29C7	方内小圆	方框里包一个小圆圈
29C8	方内方框	大方框里套一个小方框
29C9	两方框相连	两个方框并排相接，共用中间一条边
29CA	三角上加点	空心三角形，上方一个圆点
29CB	三角下加横	空心三角形，下方一条横线
29CC	三角内曲线	空心三角形里一条蛇形曲线，形似字母艾斯
29CD	底带衬线三角	空心三角形，底边两端各带一只小脚
